id,category,product_id,id.1,quantity,product_id.1,fs_receipt_id,created_date,last_modified_date,created_by,last_modified_by,discount_id
11,health/vitamins-ointments,4,4,1.0,4,1,,,,,
12,dairy/milk,4,4,1.0,4,1,,,,,
13,basic/oil-acid-grease,5,5,1.0,5,1,,,,,
14,drinks/beer,5,5,1.0,5,1,,,,,
15,dairy/butter,5,5,1.0,5,1,,,,,
16,basic/sauces,6,6,1.0,6,1,,,,,7.0
17,basic/spread,6,6,1.0,6,1,,,,,7.0
18,dairy/cream,6,6,1.0,6,1,,,,,7.0
82,drinks/beer,7,7,1.0,8,1,,,,,7.0
83,meat/meat,7,7,1.0,8,1,,,,,7.0
84,home/accessories,7,7,1.0,8,1,,,,,7.0
19,basic/sauces,8,8,1.0,9,1,,,,,
20,dairy/cream,8,8,1.0,9,1,,,,,
21,dairy/joghurts,8,8,1.0,9,1,,,,,
22,fruits-veg/fruit,9,9,1.0,10,1,,,,,
23,free-time/books-news-magazines,9,9,1.0,10,1,,,,,
24,fruits-veg/vegetable,9,9,1.0,10,1,,,,,
25,fruits-veg/fruit,10,10,3.0,11,1,,,,,12.0
26,drinks/alcohol,10,10,3.0,11,1,,,,,12.0
27,dairy/cheese,10,10,3.0,11,1,,,,,12.0
28,dairy/cheese,11,11,3.0,11,1,,,,,12.0
29,drinks/wine,11,11,3.0,11,1,,,,,12.0
30,basic/soy-products,11,11,3.0,11,1,,,,,12.0
85,drinks/beer,12,12,1.0,13,1,,,,,14.0
86,meat/meat,12,12,1.0,13,1,,,,,14.0
87,home/accessories,12,12,1.0,13,1,,,,,14.0
31,dairy/butter,13,13,1.0,15,1,,,,,16.0
32,fruits-veg/dried-nuts,13,13,1.0,15,1,,,,,16.0
33,drinks/alcohol,13,13,1.0,15,1,,,,,16.0
88,drinks/beer,14,14,4.0,17,1,,,,,
89,meat/meat,14,14,4.0,17,1,,,,,
90,home/accessories,14,14,4.0,17,1,,,,,
34,dairy/eggs,15,15,1.0,18,1,,,,,19.0
35,fashion/clothes,15,15,1.0,18,1,,,,,19.0
36,pastry/salty,15,15,1.0,18,1,,,,,19.0
91,drinks/beer,16,16,1.0,20,1,,,,,
92,meat/meat,16,16,1.0,20,1,,,,,
93,home/accessories,16,16,1.0,20,1,,,,,
37,home/maintenence,17,17,1.0,21,1,,,,,
38,drugstore/hygiene,17,17,1.0,21,1,,,,,
39,other,17,17,1.0,21,1,,,,,
268,home/maintenence,17,17,1.0,21,1,,,,,
269,drugstore/hygiene,17,17,1.0,21,1,,,,,
270,other,17,17,1.0,21,1,,,,,
943,home/maintenence,17,17,1.0,21,1,,,,,
944,drugstore/hygiene,17,17,1.0,21,1,,,,,
945,other,17,17,1.0,21,1,,,,,
1009,home/maintenence,17,17,1.0,21,1,,,,,
1010,drugstore/hygiene,17,17,1.0,21,1,,,,,
1011,other,17,17,1.0,21,1,,,,,
1375,home/maintenence,17,17,1.0,21,1,,,,,
1376,drugstore/hygiene,17,17,1.0,21,1,,,,,
1377,other,17,17,1.0,21,1,,,,,
1441,home/maintenence,17,17,1.0,21,1,,,,,
1442,drugstore/hygiene,17,17,1.0,21,1,,,,,
1443,other,17,17,1.0,21,1,,,,,
1507,home/maintenence,17,17,1.0,21,1,,,,,
1508,drugstore/hygiene,17,17,1.0,21,1,,,,,
1509,other,17,17,1.0,21,1,,,,,
1573,home/maintenence,17,17,1.0,21,1,,,,,
1574,drugstore/hygiene,17,17,1.0,21,1,,,,,
1575,other,17,17,1.0,21,1,,,,,
1639,home/maintenence,17,17,1.0,21,1,,,,,
1640,drugstore/hygiene,17,17,1.0,21,1,,,,,
1641,other,17,17,1.0,21,1,,,,,
1705,home/maintenence,17,17,1.0,21,1,,,,,
1706,drugstore/hygiene,17,17,1.0,21,1,,,,,
1707,other,17,17,1.0,21,1,,,,,
40,meat/deli,18,18,1.0,22,1,,,,,23.0
41,home/accessories,18,18,1.0,22,1,,,,,23.0
42,basic/baking,18,18,1.0,22,1,,,,,23.0
94,drinks/beer,19,19,1.0,24,1,,,,,25.0
95,meat/meat,19,19,1.0,24,1,,,,,25.0
96,home/accessories,19,19,1.0,24,1,,,,,25.0
43,snacks/salty,20,20,1.0,26,1,,,,,25.0
44,snacks/sweet,20,20,1.0,26,1,,,,,25.0
45,drugstore/hygiene,20,20,1.0,26,1,,,,,25.0
46,dairy/cheese,21,21,1.0,27,1,,,,,7.0
47,basic/spread,21,21,1.0,27,1,,,,,7.0
48,meat/meat-products,21,21,1.0,27,1,,,,,7.0
283,dairy/cheese,21,21,1.0,27,1,,,,,7.0
284,basic/spread,21,21,1.0,27,1,,,,,7.0
285,meat/meat-products,21,21,1.0,27,1,,,,,7.0
958,dairy/cheese,21,21,1.0,27,1,,,,,7.0
959,basic/spread,21,21,1.0,27,1,,,,,7.0
960,meat/meat-products,21,21,1.0,27,1,,,,,7.0
1024,dairy/cheese,21,21,1.0,27,1,,,,,7.0
1025,basic/spread,21,21,1.0,27,1,,,,,7.0
1026,meat/meat-products,21,21,1.0,27,1,,,,,7.0
1390,dairy/cheese,21,21,1.0,27,1,,,,,7.0
1391,basic/spread,21,21,1.0,27,1,,,,,7.0
1392,meat/meat-products,21,21,1.0,27,1,,,,,7.0
1456,dairy/cheese,21,21,1.0,27,1,,,,,7.0
1457,basic/spread,21,21,1.0,27,1,,,,,7.0
1458,meat/meat-products,21,21,1.0,27,1,,,,,7.0
1522,dairy/cheese,21,21,1.0,27,1,,,,,7.0
1523,basic/spread,21,21,1.0,27,1,,,,,7.0
1524,meat/meat-products,21,21,1.0,27,1,,,,,7.0
1588,dairy/cheese,21,21,1.0,27,1,,,,,7.0
1589,basic/spread,21,21,1.0,27,1,,,,,7.0
1590,meat/meat-products,21,21,1.0,27,1,,,,,7.0
1654,dairy/cheese,21,21,1.0,27,1,,,,,7.0
1655,basic/spread,21,21,1.0,27,1,,,,,7.0
1656,meat/meat-products,21,21,1.0,27,1,,,,,7.0
1720,dairy/cheese,21,21,1.0,27,1,,,,,7.0
1721,basic/spread,21,21,1.0,27,1,,,,,7.0
1722,meat/meat-products,21,21,1.0,27,1,,,,,7.0
49,frozen/instant,22,22,1.102,28,1,,,,,
50,dairy/cheese,22,22,1.102,28,1,,,,,
51,pastry/salty,22,22,1.102,28,1,,,,,
97,drinks/beer,23,23,1.0,29,1,,,,,30.0
98,meat/meat,23,23,1.0,29,1,,,,,30.0
99,home/accessories,23,23,1.0,29,1,,,,,30.0
52,health/medical-supplies,24,24,1.0,31,1,,,,,32.0
53,home/maintenence,24,24,1.0,31,1,,,,,32.0
54,home/decorations,24,24,1.0,31,1,,,,,32.0
100,drinks/beer,25,25,1.0,33,1,,,,,
101,meat/meat,25,25,1.0,33,1,,,,,
102,home/accessories,25,25,1.0,33,1,,,,,
55,home/maintenence,26,26,1.0,34,1,,,,,
56,home/accessories,26,26,1.0,34,1,,,,,
57,health/medical-supplies,26,26,1.0,34,1,,,,,
298,home/accessories,26,26,1.0,34,1,,,,,
299,home/maintenence,26,26,1.0,34,1,,,,,
300,health/medical-supplies,26,26,1.0,34,1,,,,,
973,home/accessories,26,26,1.0,34,1,,,,,
974,home/maintenence,26,26,1.0,34,1,,,,,
975,health/medical-supplies,26,26,1.0,34,1,,,,,
1039,home/accessories,26,26,1.0,34,1,,,,,
1040,home/maintenence,26,26,1.0,34,1,,,,,
1041,health/medical-supplies,26,26,1.0,34,1,,,,,
1405,home/accessories,26,26,1.0,34,1,,,,,
1406,home/maintenence,26,26,1.0,34,1,,,,,
1407,health/medical-supplies,26,26,1.0,34,1,,,,,
1471,home/accessories,26,26,1.0,34,1,,,,,
1472,home/maintenence,26,26,1.0,34,1,,,,,
1473,health/medical-supplies,26,26,1.0,34,1,,,,,
1537,home/accessories,26,26,1.0,34,1,,,,,
1538,home/maintenence,26,26,1.0,34,1,,,,,
1539,health/medical-supplies,26,26,1.0,34,1,,,,,
1603,home/accessories,26,26,1.0,34,1,,,,,
1604,home/maintenence,26,26,1.0,34,1,,,,,
1605,health/medical-supplies,26,26,1.0,34,1,,,,,
1669,home/accessories,26,26,1.0,34,1,,,,,
1670,home/maintenence,26,26,1.0,34,1,,,,,
1671,health/medical-supplies,26,26,1.0,34,1,,,,,
1735,home/accessories,26,26,1.0,34,1,,,,,
1736,home/maintenence,26,26,1.0,34,1,,,,,
1737,health/medical-supplies,26,26,1.0,34,1,,,,,
58,free-time/other,27,27,20.0,35,1,,,,,
59,other,27,27,20.0,35,1,,,,,
60,meat/fish,27,27,20.0,35,1,,,,,
61,fruits-veg/fruit,28,28,0.252,36,1,,,,,
62,drinks/mineral-water,28,28,0.252,36,1,,,,,
63,drinks/alcohol,28,28,0.252,36,1,,,,,
64,dairy/joghurts,29,29,1.0,37,2,,,,,38.0
65,health/vitamins-ointments,29,29,1.0,37,2,,,,,38.0
66,pastry/sweet,29,29,1.0,37,2,,,,,38.0
103,drinks/beer,30,30,1.0,39,2,,,,,40.0
104,meat/meat,30,30,1.0,39,2,,,,,40.0
105,home/accessories,30,30,1.0,39,2,,,,,40.0
67,dairy/butter,31,31,2.0,41,2,,,,,42.0
68,dairy/lact-free,31,31,2.0,41,2,,,,,42.0
69,basic/oil-acid-grease,31,31,2.0,41,2,,,,,42.0
106,other,32,32,1.0,43,2,,,,,44.0
107,meat/meat,32,32,1.0,43,2,,,,,44.0
108,home/maintenence,32,32,1.0,43,2,,,,,44.0
70,health/vitamins-ointments,33,33,2.0,45,2,,,,,46.0
71,snacks/sweet,33,33,2.0,45,2,,,,,46.0
72,pastry/sweet,33,33,2.0,45,2,,,,,46.0
73,fruits-veg/fruit,34,34,1.0,47,2,,,,,46.0
74,free-time/books-news-magazines,34,34,1.0,47,2,,,,,46.0
75,meat/meat-products,34,34,1.0,47,2,,,,,46.0
376,fruits-veg/fruit,34,34,1.0,47,2,,,,,46.0
377,free-time/books-news-magazines,34,34,1.0,47,2,,,,,46.0
378,meat/meat-products,34,34,1.0,47,2,,,,,46.0
76,pastry/basic,35,35,1.0,48,2,,,,,49.0
77,pastry/salty,35,35,1.0,48,2,,,,,49.0
78,home/accessories,35,35,1.0,48,2,,,,,49.0
79,meat/smoked,36,36,1.0,50,2,,,,,46.0
80,meat/meat-products,36,36,1.0,50,2,,,,,46.0
81,meat/fish,36,36,1.0,50,2,,,,,46.0
109,basic/baking,37,37,1.0,51,2,,,,,52.0
110,dairy/lact-free,37,37,1.0,51,2,,,,,52.0
111,health/vitamins-ointments,37,37,1.0,51,2,,,,,52.0
1066,basic/baking,37,37,1.0,51,2,,,,,52.0
1067,dairy/lact-free,37,37,1.0,51,2,,,,,52.0
1068,health/vitamins-ointments,37,37,1.0,51,2,,,,,52.0
1216,basic/baking,37,37,1.0,51,2,,,,,52.0
1217,dairy/lact-free,37,37,1.0,51,2,,,,,52.0
1218,health/vitamins-ointments,37,37,1.0,51,2,,,,,52.0
1762,basic/baking,37,37,1.0,51,2,,,,,52.0
1763,dairy/lact-free,37,37,1.0,51,2,,,,,52.0
1764,health/vitamins-ointments,37,37,1.0,51,2,,,,,52.0
1954,basic/baking,37,37,1.0,51,2,,,,,52.0
1955,dairy/lact-free,37,37,1.0,51,2,,,,,52.0
1956,basic/pasta,37,37,1.0,51,2,,,,,52.0
607,pastry/sweet,38,38,1.0,53,2,,,,,54.0
608,home/decorations,38,38,1.0,53,2,,,,,54.0
609,drinks/beer,38,38,1.0,53,2,,,,,54.0
112,pets,39,39,1.0,55,2,,,,,56.0
113,meat/fish,39,39,1.0,55,2,,,,,56.0
114,home/office,39,39,1.0,55,2,,,,,56.0
1069,pets,39,39,1.0,55,2,,,,,56.0
1070,meat/fish,39,39,1.0,55,2,,,,,56.0
1071,home/office,39,39,1.0,55,2,,,,,56.0
1219,pets,39,39,1.0,55,2,,,,,56.0
1220,meat/fish,39,39,1.0,55,2,,,,,56.0
1221,home/office,39,39,1.0,55,2,,,,,56.0
1765,pets,39,39,1.0,55,2,,,,,56.0
1766,meat/fish,39,39,1.0,55,2,,,,,56.0
1767,home/office,39,39,1.0,55,2,,,,,56.0
610,pastry/sweet,40,40,5.0,57,2,,,,,54.0
611,home/decorations,40,40,5.0,57,2,,,,,54.0
612,drinks/beer,40,40,5.0,57,2,,,,,54.0
115,home/maintenence,41,41,2.0,58,2,,,,,59.0
116,home/cleaning,41,41,2.0,58,2,,,,,59.0
117,home/office,41,41,2.0,58,2,,,,,59.0
1072,home/maintenence,41,41,2.0,58,2,,,,,59.0
1073,home/cleaning,41,41,2.0,58,2,,,,,59.0
1074,home/office,41,41,2.0,58,2,,,,,59.0
1222,home/maintenence,41,41,2.0,58,2,,,,,59.0
1223,home/cleaning,41,41,2.0,58,2,,,,,59.0
1224,home/office,41,41,2.0,58,2,,,,,59.0
1768,home/maintenence,41,41,2.0,58,2,,,,,59.0
1769,home/cleaning,41,41,2.0,58,2,,,,,59.0
1770,home/office,41,41,2.0,58,2,,,,,59.0
613,pastry/sweet,42,42,1.0,60,2,,,,,49.0
614,home/decorations,42,42,1.0,60,2,,,,,49.0
615,drinks/beer,42,42,1.0,60,2,,,,,49.0
118,basic/pasta,43,43,1.0,61,2,,,,,62.0
119,home/maintenence,43,43,1.0,61,2,,,,,62.0
120,drinks/alcohol,43,43,1.0,61,2,,,,,62.0
1075,basic/pasta,43,43,1.0,61,2,,,,,62.0
1076,home/maintenence,43,43,1.0,61,2,,,,,62.0
1077,drinks/alcohol,43,43,1.0,61,2,,,,,62.0
1225,basic/pasta,43,43,1.0,61,2,,,,,62.0
1226,home/maintenence,43,43,1.0,61,2,,,,,62.0
1227,drinks/alcohol,43,43,1.0,61,2,,,,,62.0
1771,basic/pasta,43,43,1.0,61,2,,,,,62.0
1772,home/maintenence,43,43,1.0,61,2,,,,,62.0
1773,drinks/alcohol,43,43,1.0,61,2,,,,,62.0
616,pastry/sweet,44,44,0.967,63,2,,,,,40.0
617,home/decorations,44,44,0.967,63,2,,,,,40.0
618,drinks/beer,44,44,0.967,63,2,,,,,40.0
121,baby/supplies-hygiene,45,45,1.0,64,2,,,,,65.0
122,home/maintenence,45,45,1.0,64,2,,,,,65.0
123,home/office,45,45,1.0,64,2,,,,,65.0
1078,baby/supplies-hygiene,45,45,1.0,64,2,,,,,65.0
1079,home/maintenence,45,45,1.0,64,2,,,,,65.0
1080,home/office,45,45,1.0,64,2,,,,,65.0
1228,baby/supplies-hygiene,45,45,1.0,64,2,,,,,65.0
1229,home/maintenence,45,45,1.0,64,2,,,,,65.0
1230,home/office,45,45,1.0,64,2,,,,,65.0
1774,baby/supplies-hygiene,45,45,1.0,64,2,,,,,65.0
1775,home/maintenence,45,45,1.0,64,2,,,,,65.0
1776,home/office,45,45,1.0,64,2,,,,,65.0
619,pastry/sweet,46,46,1.0,66,2,,,,,67.0
620,home/decorations,46,46,1.0,66,2,,,,,67.0
621,drinks/beer,46,46,1.0,66,2,,,,,67.0
124,drinks/juice,47,47,2.0,68,2,,,,,42.0
125,home/plants-garden,47,47,2.0,68,2,,,,,42.0
126,drinks/non-alcoholic,47,47,2.0,68,2,,,,,42.0
1081,drinks/juice,47,47,2.0,68,2,,,,,42.0
1082,home/plants-garden,47,47,2.0,68,2,,,,,42.0
1083,drinks/non-alcoholic,47,47,2.0,68,2,,,,,42.0
1231,drinks/juice,47,47,2.0,68,2,,,,,42.0
1232,home/plants-garden,47,47,2.0,68,2,,,,,42.0
1233,drinks/non-alcoholic,47,47,2.0,68,2,,,,,42.0
1777,drinks/juice,47,47,2.0,68,2,,,,,42.0
1778,home/plants-garden,47,47,2.0,68,2,,,,,42.0
1779,drinks/non-alcoholic,47,47,2.0,68,2,,,,,42.0
127,baby/food,48,48,2.0,69,2,,,,,42.0
128,meat/meat-products,48,48,2.0,69,2,,,,,42.0
129,basic/spread,48,48,2.0,69,2,,,,,42.0
1084,baby/food,48,48,2.0,69,2,,,,,42.0
1085,meat/meat-products,48,48,2.0,69,2,,,,,42.0
1086,basic/spread,48,48,2.0,69,2,,,,,42.0
1234,baby/food,48,48,2.0,69,2,,,,,42.0
1235,meat/meat-products,48,48,2.0,69,2,,,,,42.0
1236,basic/spread,48,48,2.0,69,2,,,,,42.0
1780,baby/food,48,48,2.0,69,2,,,,,42.0
1781,meat/meat-products,48,48,2.0,69,2,,,,,42.0
1782,basic/spread,48,48,2.0,69,2,,,,,42.0
622,pastry/sweet,49,49,3.0,70,2,,,,,
623,home/decorations,49,49,3.0,70,2,,,,,
624,drinks/beer,49,49,3.0,70,2,,,,,
130,dairy/milk,50,50,1.0,71,2,,,,,54.0
131,dairy/joghurts,50,50,1.0,71,2,,,,,54.0
132,drinks/beer,50,50,1.0,71,2,,,,,54.0
1087,dairy/milk,50,50,1.0,71,2,,,,,54.0
1088,dairy/joghurts,50,50,1.0,71,2,,,,,54.0
1089,drinks/beer,50,50,1.0,71,2,,,,,54.0
1237,dairy/milk,50,50,1.0,71,2,,,,,54.0
1238,dairy/joghurts,50,50,1.0,71,2,,,,,54.0
1239,drinks/beer,50,50,1.0,71,2,,,,,54.0
1783,dairy/milk,50,50,1.0,71,2,,,,,54.0
1784,dairy/joghurts,50,50,1.0,71,2,,,,,54.0
1785,drinks/beer,50,50,1.0,71,2,,,,,54.0
133,basic/canned-fruits-vegetable,51,51,1.0,72,2,,,,,54.0
134,meat/fish,51,51,1.0,72,2,,,,,54.0
135,dairy/cheese,51,51,1.0,72,2,,,,,54.0
1090,basic/canned-fruits-vegetable,51,51,1.0,72,2,,,,,54.0
1091,meat/fish,51,51,1.0,72,2,,,,,54.0
1092,dairy/cheese,51,51,1.0,72,2,,,,,54.0
1240,basic/canned-fruits-vegetable,51,51,1.0,72,2,,,,,54.0
1241,meat/fish,51,51,1.0,72,2,,,,,54.0
1242,dairy/cheese,51,51,1.0,72,2,,,,,54.0
1786,basic/canned-fruits-vegetable,51,51,1.0,72,2,,,,,54.0
1787,meat/fish,51,51,1.0,72,2,,,,,54.0
1788,dairy/cheese,51,51,1.0,72,2,,,,,54.0
625,pastry/sweet,52,52,1.0,73,2,,,,,49.0
626,basic/tea-coffee-soups,52,52,1.0,73,2,,,,,49.0
627,free-time/toys,52,52,1.0,73,2,,,,,49.0
136,basic/spread,53,53,1.0,74,2,,,,,56.0
137,snacks/sweet,53,53,1.0,74,2,,,,,56.0
138,meat/meat-products,53,53,1.0,74,2,,,,,56.0
1093,basic/spread,53,53,1.0,74,2,,,,,56.0
1094,snacks/sweet,53,53,1.0,74,2,,,,,56.0
1095,meat/meat-products,53,53,1.0,74,2,,,,,56.0
1243,basic/spread,53,53,1.0,74,2,,,,,56.0
1244,snacks/sweet,53,53,1.0,74,2,,,,,56.0
1245,meat/meat-products,53,53,1.0,74,2,,,,,56.0
1789,basic/spread,53,53,1.0,74,2,,,,,56.0
1790,snacks/sweet,53,53,1.0,74,2,,,,,56.0
1791,meat/meat-products,53,53,1.0,74,2,,,,,56.0
628,pastry/sweet,54,54,1.104,75,2,,,,,76.0
629,home/decorations,54,54,1.104,75,2,,,,,76.0
630,drinks/beer,54,54,1.104,75,2,,,,,76.0
139,dairy/eggs,55,55,1.0,77,2,,,,,40.0
140,home/accessories,55,55,1.0,77,2,,,,,40.0
141,pastry/salty,55,55,1.0,77,2,,,,,40.0
1096,dairy/eggs,55,55,1.0,77,2,,,,,40.0
1097,home/accessories,55,55,1.0,77,2,,,,,40.0
1098,pastry/salty,55,55,1.0,77,2,,,,,40.0
1246,dairy/eggs,55,55,1.0,77,2,,,,,40.0
1247,home/accessories,55,55,1.0,77,2,,,,,40.0
1248,pastry/salty,55,55,1.0,77,2,,,,,40.0
1792,dairy/eggs,55,55,1.0,77,2,,,,,40.0
1793,home/accessories,55,55,1.0,77,2,,,,,40.0
1794,pastry/salty,55,55,1.0,77,2,,,,,40.0
631,pastry/sweet,56,56,1.0,78,2,,,,,56.0
632,home/decorations,56,56,1.0,78,2,,,,,56.0
633,drinks/beer,56,56,1.0,78,2,,,,,56.0
142,dairy/joghurts,57,57,0.164,79,2,,,,,38.0
143,health/vitamins-ointments,57,57,0.164,79,2,,,,,38.0
144,basic/baking,57,57,0.164,79,2,,,,,38.0
1099,dairy/joghurts,57,57,0.164,79,2,,,,,38.0
1100,health/vitamins-ointments,57,57,0.164,79,2,,,,,38.0
1101,basic/baking,57,57,0.164,79,2,,,,,38.0
1249,dairy/joghurts,57,57,0.164,79,2,,,,,38.0
1250,health/vitamins-ointments,57,57,0.164,79,2,,,,,38.0
1251,basic/baking,57,57,0.164,79,2,,,,,38.0
1795,dairy/joghurts,57,57,0.164,79,2,,,,,38.0
1796,health/vitamins-ointments,57,57,0.164,79,2,,,,,38.0
1797,basic/baking,57,57,0.164,79,2,,,,,38.0
1978,dairy/joghurts,57,57,0.164,79,2,,,,,38.0
1979,health/vitamins-ointments,57,57,0.164,79,2,,,,,38.0
1980,basic/baking,57,57,0.164,79,2,,,,,38.0
145,dairy/cream,58,58,0.165,80,2,,,,,81.0
146,dairy/joghurts,58,58,0.165,80,2,,,,,81.0
147,basic/baking,58,58,0.165,80,2,,,,,81.0
1102,dairy/cream,58,58,0.165,80,2,,,,,81.0
1103,dairy/joghurts,58,58,0.165,80,2,,,,,81.0
1104,basic/baking,58,58,0.165,80,2,,,,,81.0
1252,dairy/cream,58,58,0.165,80,2,,,,,81.0
1253,dairy/joghurts,58,58,0.165,80,2,,,,,81.0
1254,basic/baking,58,58,0.165,80,2,,,,,81.0
1798,dairy/cream,58,58,0.165,80,2,,,,,81.0
1799,dairy/joghurts,58,58,0.165,80,2,,,,,81.0
1800,basic/baking,58,58,0.165,80,2,,,,,81.0
634,pastry/sweet,59,59,1.0,82,2,,,,,76.0
635,home/decorations,59,59,1.0,82,2,,,,,76.0
636,drinks/beer,59,59,1.0,82,2,,,,,76.0
148,dairy/butter,60,60,1.0,83,2,,,,,54.0
149,pastry/salty,60,60,1.0,83,2,,,,,54.0
150,basic/oil-acid-grease,60,60,1.0,83,2,,,,,54.0
1105,dairy/butter,60,60,1.0,83,2,,,,,54.0
1106,pastry/salty,60,60,1.0,83,2,,,,,54.0
1107,basic/oil-acid-grease,60,60,1.0,83,2,,,,,54.0
1255,dairy/butter,60,60,1.0,83,2,,,,,54.0
1256,pastry/salty,60,60,1.0,83,2,,,,,54.0
1257,basic/oil-acid-grease,60,60,1.0,83,2,,,,,54.0
1801,dairy/butter,60,60,1.0,83,2,,,,,54.0
1802,pastry/salty,60,60,1.0,83,2,,,,,54.0
1803,basic/oil-acid-grease,60,60,1.0,83,2,,,,,54.0
151,dairy/cheese,61,61,2.0,84,2,,,,,59.0
152,drinks/alcohol,61,61,2.0,84,2,,,,,59.0
153,drinks/wine,61,61,2.0,84,2,,,,,59.0
1108,dairy/cheese,61,61,2.0,84,2,,,,,59.0
1109,drinks/alcohol,61,61,2.0,84,2,,,,,59.0
1110,drinks/wine,61,61,2.0,84,2,,,,,59.0
1258,dairy/cheese,61,61,2.0,84,2,,,,,59.0
1259,drinks/alcohol,61,61,2.0,84,2,,,,,59.0
1260,drinks/wine,61,61,2.0,84,2,,,,,59.0
1804,dairy/cheese,61,61,2.0,84,2,,,,,59.0
1805,drinks/alcohol,61,61,2.0,84,2,,,,,59.0
1806,drinks/wine,61,61,2.0,84,2,,,,,59.0
637,pastry/sweet,62,62,2.0,85,2,,,,,56.0
638,home/decorations,62,62,2.0,85,2,,,,,56.0
639,drinks/beer,62,62,2.0,85,2,,,,,56.0
154,meat/meat,63,63,1.0,86,2,,,,,54.0
155,basic/instant,63,63,1.0,86,2,,,,,54.0
156,fashion/clothes,63,63,1.0,86,2,,,,,54.0
1111,meat/meat,63,63,1.0,86,2,,,,,54.0
1112,basic/instant,63,63,1.0,86,2,,,,,54.0
1113,fashion/clothes,63,63,1.0,86,2,,,,,54.0
1261,meat/meat,63,63,1.0,86,2,,,,,54.0
1262,basic/instant,63,63,1.0,86,2,,,,,54.0
1263,fashion/clothes,63,63,1.0,86,2,,,,,54.0
1807,meat/meat,63,63,1.0,86,2,,,,,54.0
1808,basic/instant,63,63,1.0,86,2,,,,,54.0
1809,fashion/clothes,63,63,1.0,86,2,,,,,54.0
157,snacks/sweet,64,64,1.0,87,2,,,,,76.0
158,home/maintenence,64,64,1.0,87,2,,,,,76.0
159,pastry/sweet,64,64,1.0,87,2,,,,,76.0
1114,snacks/sweet,64,64,1.0,87,2,,,,,76.0
1115,home/maintenence,64,64,1.0,87,2,,,,,76.0
1116,pastry/sweet,64,64,1.0,87,2,,,,,76.0
1264,snacks/sweet,64,64,1.0,87,2,,,,,76.0
1265,home/maintenence,64,64,1.0,87,2,,,,,76.0
1266,pastry/sweet,64,64,1.0,87,2,,,,,76.0
1810,snacks/sweet,64,64,1.0,87,2,,,,,76.0
1811,home/maintenence,64,64,1.0,87,2,,,,,76.0
1812,pastry/sweet,64,64,1.0,87,2,,,,,76.0
640,pastry/sweet,65,65,1.0,88,2,,,,,46.0
641,basic/tea-coffee-soups,65,65,1.0,88,2,,,,,46.0
642,free-time/toys,65,65,1.0,88,2,,,,,46.0
160,dairy/cheese,66,66,2.0,89,2,,,,,56.0
161,basic/baking,66,66,2.0,89,2,,,,,56.0
162,fruits-veg/dried-nuts,66,66,2.0,89,2,,,,,56.0
1117,dairy/cheese,66,66,2.0,89,2,,,,,56.0
1118,basic/baking,66,66,2.0,89,2,,,,,56.0
1119,fruits-veg/dried-nuts,66,66,2.0,89,2,,,,,56.0
